Name,Political Party,Position,Date,Location,Sources,President,Count
Teodoro Herrera Sosa,PRI,Former municipal president,2005-01-18,"Soto la Marina, Tamaulipas",[7][8],Vicente Fox,1
Raúl Delgado Benavides,Independent,Municipal president,2006-07-15,"Cuautitlán, Jalisco",[9][10],Vicente Fox,1
Juan Antonio Guajardo Anzaldúa,PAN PRD PT,"Former municipal president, Senator, and Deputy",2007-11-29,"Río Bravo, Tamaulipas",[nb 1][11][12],Felipe Calderón,1
Leopoldo Juárez Urbina,Convergence,Former municipal president,2008-05-08,"Cherán, Michoacán",[13][14][15],Felipe Calderón,1
Marcelo Ibarra Villa,PRI,Municipal president,2008-06-01,"Villa Madero, Michoacán",[16],Felipe Calderón,1
Manuel de Jesús Angulo Torres,PRI,Municipal president,2008-06-04,"Topia, Durango",[nb 2][17],Felipe Calderón,1
Juan Manuel Orozco Serrano,PRI,Former municipal president,2008-07-24,"Cuautitlán, Jalisco",[18][19],Felipe Calderón,1
Héctor Lorenzo Ríos,PRD,Municipal president,2008-09-24,"Ayutla, Guerrero",[20][21],Felipe Calderón,1
Salvador Vergara Cruz,PRI,Municipal president,2008-10-08,"Ixtapan de la Sal, State of Mexico",[22],Felipe Calderón,1
Claudio Reyes Núñez,PRI,Municipal president,2009-02-06,"Otáez, Durango",[23][24],Felipe Calderón,1
Francisco Javier Rodríguez Aceves,PRD,Former municipal president,2009-02-22,"Petatlán, Guerrero",[25],Felipe Calderón,1
Octavio Manuel Carrillo Castellanos,PRI,Municipal president,2009-02-24,"Vista Hermosa, Michoacán",[26][27],Felipe Calderón,1
Gonzalo Paz Torres,Independent,Chief of city council,2009-03-07,"Tancítaro, Michoacán",[28][29],Felipe Calderón,1
Dimas Arzeta Cisneros,PRI,Former municipal president,2009-03-14,"Tecpán de Galeana, Guerrero",[30],Felipe Calderón,1
Nicolás León Hernández,PRI,Former municipal president,2009-04-03,"Lázaro Cárdenas, Michoacán",[31][32],Felipe Calderón,1
Gustavo Bucio Rodríguez,PRD,Candidate for Deputy (legislator),2009-04-07,Michoacán,[33][34],Felipe Calderón,1
Alfonso Rivera Cruz,Independent,Municipal president pro tempore,2009-04-20,"Zapotitlán Tablas, Guerrero",[35],Felipe Calderón,1
Luis Carlos Ramírez López,PAN,Municipal president,2009-06-02,"Ocampo, Durango",[36][37],Felipe Calderón,1
Efraín Gutiérrez Arcos,PRI,Former municipal president,2009-06-11,"Santa Ana Maya, Michoacán",[38][39],Felipe Calderón,1
Héctor Manuel Meixueiro Muñoz,PAN,Municipal president,2009-07-14,"Namiquipa, Chihuahua",[40][41],Felipe Calderón,1
Ismael Rivera,Independent,Treasurer of the municipality,2009-07-14,"Namiquipa, Chihuahua",[42],Felipe Calderón,1
Armando Chavarría Barrera,PRD,Congressman,2009-08-20,"Chilpancingo, Guerrero",[43],Felipe Calderón,1
José Francisco Fuentes,PRI,Candidate for state legislature,2009-09-06,"Villahermosa, Tabasco",[44],Felipe Calderón,1
Estanislao García Santelis,Independent,Municipal president,2009-10-09,"Puerto Palomas, Chihuahua",[45],Felipe Calderón,1
José Sánchez Chávez,PRI,Former municipal president,2009-10-16,"Tiquicheo, Michoacán",[46],Felipe Calderón,1
Aurelio Fausto Cháidez Chavarín,Independent,Former municipal president,2010-01-09,"Culiacán, Sinaloa",[47],Felipe Calderón,1
Ramón Mendívil Sotelo,PRI,Municipal president,2010-02-18,"Guadalupe y Calvo, Chihuahua",[48][49],Felipe Calderón,1
Manuel Estrada Escalante,PRI,Municipal president,2010-02-23,"Mezquital, Durango",[50][51],Felipe Calderón,1
José Santiago Agustín,PRI,Municipal president,2010-04-28,"Zapotitlán Tablas, Guerrero",[52][53],Felipe Calderón,1
Abel Uribe Landa,PRI,Former municipal president,2010-05-03,"Tetipac, Guerrero",[54][55],Felipe Calderón,1
José Mario Guajardo Varela,PAN,Candidate for municipal presidency,2010-05-12,"Valle Hermoso, Tamaulipas",[56][57],Felipe Calderón,1
Óscar Venancio Martínez Rivera,PRI,Municipal president,2010-06-19,"San José del Progreso, Oaxaca",[59],Felipe Calderón,1
Rodolfo Torre Cantú,PRI,Candidate for governor,2010-06-28,"Ciudad Victoria, Tamaulipas",[60],Felipe Calderón,1
Enrique Blackmore Smer,PRI,Deputy (legislator),2010-06-28,"Ciudad Victoria, Tamaulipas",[61][62],Felipe Calderón,1
Nicolás García Ambrosio,PRD,Municipal president,2010-06-30,"Santo Domingo, Oaxaca",[63][64],Felipe Calderón,1
Romero Núñez Montiel,Compromise for Puebla (coalition party),Candidate for municipal presidency,2010-07-03,"Jolalpan, Puebla",[nb 3][65],Felipe Calderón,1
Alberto Herrera Casillas,Independent,Former municipal president,2010-07-10,"Tecalitlán, Jalisco",[66][67],Felipe Calderón,1
Edelmiro Cavazos Leal,PAN,Municipal president,2010-08-18,"Santiago, Nuevo León",[68],Felipe Calderón,1
Marco Antonio Leal García,PRI,Municipal president,2010-08-29,"Hidalgo, Tamaulipas",[69][70],Felipe Calderón,1
Alexander López García,PRI,Municipal president,2010-09-08,"El Naranjo, San Luis Potosí",[71][72],Felipe Calderón,1
Prisciliano Rodríguez Salinas,PRI,Municipal president,2010-09-23,"Doctor González, Nuevo León",[73][74],Felipe Calderón,1
Gustavo Sánchez Cervantes,Independent,Interim municipal president,2010-09-27,"Uruapan, Michoacán",[29][75],Felipe Calderón,1
Antonio Jiménez Baños,PRI,Municipal president-elect,2010-10-08,"Mártires de Tacubaya, Oaxaca",[nb 4][76][77][78],Felipe Calderón,1
